1,1,1700.0,391.0,156.0,337.0,1,-1,-1,-1
1,2,250.0,456.0,107.0,248.0,1,-1,-1,-1
1,3,1255.0,539.0,60.0,118.0,1,-1,-1,-1
1,4,1288.0,459.0,73.0,199.0,1,-1,-1,-1
1,5,120.0,504.0,93.0,239.0,1,-1,-1,-1
1,6,0.0,243.0,110.0,666.0,1,-1,-1,-1
1,7,1885.0,369.0,35.0,213.0,1,-1,-1,-1
2,1,1689.0,390.0,163.0,338.0,1,-1,-1,-1
2,2,262.0,456.0,96.0,250.0,1,-1,-1,-1
2,3,1257.0,538.0,59.0,120.0,1,-1,-1,-1
2,4,1291.0,461.0,71.0,197.0,1,-1,-1,-1
2,5,119.0,503.0,83.0,240.0,1,-1,-1,-1
2,6,0.0,247.0,114.0,662.0,1,-1,-1,-1
2,7,1884.0,370.0,35.0,208.0,1,-1,-1,-1
3,1,1686.0,389.0,163.0,340.0,1,-1,-1,-1
3,2,262.0,456.0,97.0,251.0,1,-1,-1,-1
3,3,1260.0,538.0,56.0,120.0,1,-1,-1,-1
3,4,1294.0,460.0,68.0,198.0,1,-1,-1,-1
3,5,116.0,503.0,87.0,240.0,1,-1,-1,-1
3,6,0.0,282.0,119.0,626.0,1,-1,-1,-1
3,7,1882.0,368.0,37.0,206.0,1,-1,-1,-1
4,1,1684.0,390.0,162.0,341.0,1,-1,-1,-1
4,2,262.0,456.0,97.0,251.0,1,-1,-1,-1
4,3,1263.0,539.0,54.0,121.0,1,-1,-1,-1
4,4,1296.0,460.0,67.0,199.0,1,-1,-1,-1
4,5,117.0,503.0,89.0,241.0,1,-1,-1,-1
4,6,0.0,257.0,125.0,652.0,1,-1,-1,-1
4,7,1880.0,358.0,39.0,219.0,1,-1,-1,-1
5,1,1686.0,389.0,159.0,344.0,1,-1,-1,-1
5,2,262.0,456.0,97.0,250.0,1,-1,-1,-1
5,3,1268.0,541.0,49.0,117.0,1,-1,-1,-1
5,4,1298.0,459.0,68.0,199.0,1,-1,-1,-1
5,5,121.0,504.0,85.0,241.0,1,-1,-1,-1
5,6,0.0,242.0,137.0,667.0,1,-1,-1,-1
5,7,1879.0,351.0,40.0,225.0,1,-1,-1,-1
6,1,1687.0,390.0,151.0,346.0,1,-1,-1,-1
6,2,264.0,457.0,95.0,249.0,1,-1,-1,-1
6,3,1272.0,540.0,43.0,118.0,1,-1,-1,-1
6,4,1299.0,458.0,69.0,200.0,1,-1,-1,-1
6,5,123.0,505.0,82.0,240.0,1,-1,-1,-1
6,6,0.0,238.0,138.0,671.0,1,-1,-1,-1
